ID_judet,Judet,SIRUTA,Localitate,Wikidata,Website,E-mail general 1 1,E-mail general 2,E-mail registratura,Telefon 1,Telefon 2,Telefon 3,Telefon 4,Adresa
1,ALBA,1017,Alba Iulia,Q174665,https://apulum.ro/,mailto:office@apulum.ro,,,+40-258819462,,,,"Calea Moţilor nr. 5A, 510134 Alba Iulia"
1,ALBA,1213,Aiud,Q411080,http://www.aiud.ro/,mailto:office@aiud.ro,,,+40-258861310,,,,"Aiud - 515200, judetul Alba Str. Cuza Vodã, nr.1"
1,ALBA,1348,Blaj,Q624236,http://primariablaj.ro/,mailto:primarieblaj@rcnet.ro,,,+40-756089214,,,,"Piața 1848, nr. 16, Blaj, jud. Alba, 515400"
1,ALBA,1874,Sebeș,Q732376,https://www.primariasebes.ro/,mailto:secretariat@primariasebes.ro,,,+40-258710110,,,,"SEBEȘ, STR. PIAȚA PRIMĂRIEI, NR.1"
1,ALBA,1151,Abrud,Q331577,http://www.primaria-abrud.ro/,mailto:primariaabrud@yahoo.com,,,+40-258780519,,,,"Abrud, jud. Alba, Piața Eroilor, nr.1, 515100"
1,ALBA,2915,Baia de Arieș,Q775799,http://www.baiadearies.ro/,mailto:primbaia@yahoo.com,,,+40-258775002,,,,"BAIA DE ARIES, Str. Piata Baii, nr. 1, 515300, jud. Alba"
1,ALBA,1455,Câmpeni,Q855187,http://www.primariacimpeni.ro/,mailto:primaria_cimpeni@yahoo.com,,,+40-258771215,,,,"Piața Avram Iancu 5, Câmpeni 515500"
1,ALBA,1696,Cugir,Q221214,http://www.primariacugir.ro/,mailto:office@primariacugir.ro,,,+40-258751001,,,,"Strada Ion Luca Caragiale 1, Cugir 515600"
1,ALBA,1794,Ocna Mureș,Q837152,https://www.primariaocnamures.ro/,mailto:contact@primariaocnamures.ro,,,+40-258871257,,,,"Strada Nicolae Iorga Nr. 27 cod poștal 515700, Ocna Mureș, jud. Alba"
1,ALBA,8096,Teiuș,Q946893,http://primariateius.ro/,mailto:primaria_orasului_teius@yahoo.com,,mailto:office@primariateius.ro,+40-258851101,,,,"Primaria Teius – Str. Clujului nr 80, Teius, Jud. Alba, 515900"
1,ALBA,1936,Zlatna,Q207196,http://www.primaria-zlatna.ro/nou/,mailto:pr_zlatna@primariazlatna.ro,,,+40-258856337,,,,"Str. Piata Unirii, Nr.1A, 516100, Zlatna, Alba"
